dataset,country_code,country,year,variable,value,source
exports_by_hs_section,VNM,Vietnam,2016,Transportation,3243147699.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Vegetable Products,11947416233.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Weapons,288573.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Wood Products,2772114826.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Animal Hides,4509270487.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Animal Products,5827611997.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Animal and Vegetable Bi-Products,165412340.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Arts and Antiques,6288978.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Chemical Products,3608821764.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Foodstuffs,5152705377.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Footwear and Headwear,20368169228.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Instruments,5938000334.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Machines,123536946012.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Metals,8731370886.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Mineral Products,5898108125.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Miscellaneous,10232149534.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Paper Goods,1052179348.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Plastics and Rubbers,7651928407.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Precious Metals,612294145.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Stone And Glass,2086331416.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Textiles,35648112595.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Transportation,3811165204.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Vegetable Products,14244792770.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Weapons,102995.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2017,Wood Products,2954373962.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Animal Hides,4496822174.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Animal Products,5890517293.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Animal and Vegetable Bi-Products,174018808.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Arts and Antiques,8722566.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Chemical Products,4668001876.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Foodstuffs,5856664189.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Footwear and Headwear,22762758953.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Instruments,6312257856.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Machines,127875055306.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Metals,11497920058.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Mineral Products,6723611825.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Miscellaneous,11485059281.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Paper Goods,1272466740.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Plastics and Rubbers,8526968627.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Precious Metals,663831790.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Stone And Glass,2228043091.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Textiles,40275365826.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Transportation,4220783955.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Vegetable Products,14455512045.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2018,Weapons,504679.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
