country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending
Viet Nam,VN,VNM,2011,,2026-04-08,18.694145538196,4.30487434902161,1950.92504174913,125.260577940829,30.5694066495721,NA,25.8674734818525,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2012,,2026-04-08,20.2740924828827,4.27832287681174,2185.11767654291,123.224116745985,28.6527327899415,3,25.7487091222031,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2013,,2026-04-08,20.6874536915425,4.16454517277325,2359.51736472828,130.846354866743,28.3027845322716,NA,25.6249412769592,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2014,,2026-04-08,20.371229229791,3.94086189051961,2546.38464459903,135.410521454361,28.4047020277577,3.154763,31.3306389293887,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2015,,2026-04-08,20.9600916821922,4.93190773329022,2577.56885340113,144.914228195237,30.1767255413004,NA,29.7250797402999,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2016,,2026-04-08,21.4882532002034,4.90089302916746,2735.0604380416,145.409507973118,29.8938593535094,2.976629,29.0811980839409,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2017,,2026-04-08,22.6271239749306,5.01148721749681,2956.10992127753,160.98008365887,30.5447649065873,NA,25.9526307046456,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2018,,2026-04-08,23.3671679233065,4.99828319622328,3222.31003125366,164.663936775893,30.341493072074,3.27,NA,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2019,,2026-04-08,23.7867165015145,4.821074861051,3440.90025375434,164.704215031408,30.3625675367417,NA,30.2241191864014,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2020,,2026-04-08,23.9472430412931,4.55836196782424,3534.03953482647,163.245862814935,30.2778176424342,NA,NA,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2021,,2026-04-08,24.4593726835115,4.27314566190187,3704.1935590038,186.675832836814,31.0348551186527,NA,41.9554971195048,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2022,,2026-04-08,24.7772286923041,4.32947308910883,4147.69777213621,183.153619147836,30.5658412856141,3.3,44.7536854027422,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
Viet Nam,VN,VNM,2023,,2026-04-08,24.179672453009,4.26407109843686,4323.35031982451,164.818071269894,30.1077352983759,NA,32.8415128147815,East Asia & Pacific,Hanoi,105.825,21.0069,Lower middle income,IBRD
